#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-03-31T19:04:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5abfdb1b1d11f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#-out=Age
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Coosys	G:	galactic
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	_Glon	(F7.3)	Galactic longitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lon]
#Column	_Glat	(F7.3)	Galactic latitude (computed by VizieR, not part of the original data)	[ucd=pos.galactic.lat]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
_Glon	_Glat	Cluster	RAJ2000	DEJ2000	Dist	Age
123.128	 -3.021	FSR 0521         	00 53 00	+59 51 00	 2534	 9.210
123.138	 -1.291	ASCC 4           	00 53 10	+61 34 48	  750	 8.340
123.267	-13.304	Casado Alessi 1  	00 53 27	+49 34 00	  302	 8.200
123.178	 +2.923	FSR 0522         	00 53 50	+65 47 36	 1506	 9.075
123.855	 -7.020	ASCC 5           	00 57 58	+55 50 24	 1500	 7.030
123.910	 -6.360	Majaess 19       	00 58 29	+56 29 53	     	
123.581	 +5.606	Skiff J0058+68.4 	00 58 29	+68 28 08	 1600	 9.100
123.672	 +2.812	Majaess 20       	00 58 37	+65 40 23	     	
123.982	 +1.098	Berkeley 62      	01 01 00	+63 57 00	 2320	 7.200
124.265	 -0.058	Czernik 3        	01 03 06	+62 47 00	 1410	 8.000
124.543	 -0.807	NGC 358          	01 05 11	+62 01 18	     	
124.678	 -0.591	NGC 366          	01 06 26	+62 13 48	 1785	 7.410
124.652	 +2.831	Pfleiderer 1     	01 08 07	+65 38 50	 7200	 9.000
124.939	 -1.223	NGC 381          	01 08 19	+61 35 00	 1148	 8.505
125.351	 -0.440	Stock 3          	01 12 18	+62 20 00	 1363	 7.850
128.446	-30.604	Platais 2        	01 13 50	+32 01 42	  190	 8.313
125.888	 -2.609	NGC 433          	01 15 11	+60 07 36	 2323	 7.500
126.110	 -3.909	NGC 436          	01 15 58	+58 48 42	 2400	 8.260
126.049	 -1.414	FSR 0534         	01 17 26	+61 18 00	 1800	 8.700
126.317	 -2.341	FSR 0537         	01 18 50	+60 21 01	 2075	 9.000
126.635	 -4.383	NGC 457          	01 19 35	+58 17 12	 2429	 7.324
126.129	 +0.373	FSR 0536         	01 19 44	+63 04 07	 3001	 8.397
126.325	 +1.024	FSR 0538         	01 22 08	+63 41 35	 2146	 8.860
126.830	 +0.385	FSR 0542         	01 25 53	+62 59 43	 1934	 8.350
126.893	 +0.020	SAI 14           	01 26 00	+62 37 33	 6460	 9.100
127.195	 +0.748	NGC 559          	01 29 32	+63 18 14	 2430	 8.350
127.617	 -1.805	FSR 0547         	01 29 52	+60 42 59	 2800	 8.900
128.052	 -1.804	NGC 581          	01 33 23	+60 39 00	 2194	 7.336
128.179	 -0.945	Czernik 4        	01 35 36	+61 28 35	 1630	 8.000
128.224	 -1.133	Trumpler 1       	01 35 42	+61 17 00	 2469	 7.300
127.740	 +2.087	NGC 609          	01 36 23	+64 32 18	 3981	 9.232
127.593	 +3.401	FSR 0546         	01 37 12	+65 51 29	 2501	 9.000
127.829	 +3.507	FSR 0549         	01 39 39	+65 55 11	 6001	 9.300
128.032	 +2.503	FSR 0551         	01 39 46	+64 53 41	 3500	 6.680
128.237	 +2.154	FSR 0553         	01 41 02	+64 30 48	 7500	 8.600
128.546	 +1.732	NGC 637          	01 43 04	+64 02 24	 2500	 7.000
130.221	 -6.299	NGC 657          	01 43 21	+55 50 11	 1372	 9.200
129.082	 -0.357	NGC 654          	01 44 00	+61 53 06	 2410	 7.000
129.375	 -1.534	NGC 659          	01 44 24	+60 40 24	 1938	 7.548
128.777	 +2.014	Majaess 26       	01 45 40	+64 16 08	     	
127.192	 +9.389	Collinder 463    	01 45 45	+71 48 36	  702	 8.373
129.467	 -0.941	NGC 663          	01 46 09	+61 14 06	 2420	 7.400
130.346	 -4.337	ASCC 6           	01 47 13	+57 43 48	 1200	 8.170
129.293	 +0.760	Berkeley 5       	01 47 48	+62 56 00	 6200	 8.900
130.051	 -0.957	S1               	01 50 51	+61 05 28	 2200	 7.400
130.097	 -0.977	Berkeley 6       	01 51 11	+61 03 40	 2520	 7.500
130.071	 -0.189	IC 166           	01 52 30	+61 50 00	 4800	 9.000
131.231	 -4.813	Stock 4          	01 52 48	+57 04 00	 1200	 8.700
273.762	-67.488	ESO 245 09       	01 53 43	-45 57 12	 1380	 9.055
130.138	 +0.376	Berkeley 7       	01 54 12	+62 22 00	 2570	 6.600
130.557	 -0.561	Czernik 5        	01 55 43	+61 21 21	 2750	 8.450
137.125	-23.254	NGC 752          	01 57 41	+37 47 06	  457	 9.160
132.404	 -6.159	NGC 744          	01 58 33	+55 28 24	 1207	 8.248
131.203	 -1.634	NGC 743          	01 58 37	+60 09 18	 1618	 8.700
131.545	 -2.769	ASCC 7           	01 58 55	+58 58 12	 2000	 7.360
127.352	+13.213	Berkeley 8       	02 01 06	+75 29 00	 3150	 9.500
130.886	 +1.056	Czernik 6        	02 02 00	+62 50 00	 2700	 7.000
131.159	 +0.524	Czernik 7        	02 03 01	+62 14 48	 3300	 8.340
130.714	 +2.671	Stock 5          	02 04 30	+64 26 00	 1100	 7.730
131.431	 +0.622	SAI 16           	02 05 30	+62 15 54	 7700	 9.150
132.223	 -1.238	Riddle 4         	02 07 23	+60 15 25	 2800	 7.600
133.334	 -1.694	Stock 2          	02 14 43	+59 29 06	  303	 8.230
134.632	 -3.741	NGC 869          	02 19 00	+57 07 42	 2079	 7.069
134.300	 -2.615	Basel 10         	02 19 28	+58 18 00	 1944	 7.608
132.506	 +2.496	Berkeley 63      	02 19 36	+63 43 00	 5700	 7.480
133.442	 +0.061	FSR 0578         	02 20 10	+61 06 31	 2668	 8.985
134.165	 -1.724	SAI 17           	02 20 48	+59 11 06	 3800	 8.900
134.023	 -1.323	ASCC 8           	02 20 49	+59 36 36	 2200	 6.760
131.919	 +4.605	Berkeley 64      	02 21 06	+65 54 00	 3981	 9.000
135.066	 -3.588	NGC 884          	02 22 23	+57 07 33	 2940	 7.100
132.881	 +2.792	Stock 6          	02 23 42	+63 52 00	 1700	 8.480
134.049	 +0.840	FSR 0584         	02 27 11	+61 37 40	 2009	 9.100
135.152	 -1.809	FSR 0591         	02 27 44	+58 45 32	 2200	 8.950
130.089	+11.112	Majaess 29       	02 28 07	+72 37 35	     	
134.182	 +1.059	Tombaugh 4       	02 28 54	+61 47 00	 3850	 8.700
134.079	 +1.353	Teutsch 55       	02 29 00	+62 05 39	 6020	 6.700
134.665	 +0.092	Markarian 6      	02 29 40	+60 42 24	  698	 7.214
135.650	 -2.310	FSR 0596         	02 29 52	+58 06 37	 1417	 9.150
141.178	-14.624	NGC 956          	02 32 15	+44 38 48	 2613	 9.100
134.726	 +0.919	IC 1805          	02 32 42	+61 27 00	 2344	 6.480
135.796	 -1.579	Czernik 8        	02 33 00	+58 44 00	 1409	 7.904
136.287	 -2.645	NGC 957          	02 33 21	+57 33 36	 2200	 7.000
135.417	 -0.487	Czernik 9        	02 33 32	+59 53 12	 1660	 8.800
135.352	 -0.211	Czernik 10       	02 33 54	+60 10 00	 1575	 8.300
134.516	 +2.048	SAI 21           	02 34 45	+62 34 22	 1860	 8.500
136.015	 -1.198	King 4           	02 35 42	+59 00 00	 3172	 7.605
135.870	 -0.571	Czernik 11       	02 36 35	+59 38 00	 1210	 8.540
137.377	 -3.971	Trumpler 2       	02 36 53	+55 54 54	  725	 7.950
137.273	 -3.471	FSR 0611         	02 37 38	+56 24 54	 1000	 8.750
135.834	 +0.268	Berkeley 65      	02 39 00	+60 25 00	 2274	 6.995
138.079	 -4.754	Czernik 12       	02 39 12	+54 55 00	 2000	 9.100
143.658	-15.613	NGC 1039         	02 42 05	+42 45 42	  499	 8.249
137.765	 -2.904	FSR 0614         	02 42 34	+56 44 00	 2434	 8.800
135.747	 +1.562	NGC 1027         	02 42 43	+61 38 01	 1030	 8.400
136.220	 +1.077	Majaess 30       	02 44 36	+60 59 42	     	
135.659	 +2.310	Czernik 13       	02 44 42	+62 21 00	 3961	 6.854
137.878	 -1.752	ASCC 9           	02 46 55	+57 43 48	 2900	 6.790
136.132	 +2.119	Teutsch 162      	02 47 40	+61 58 30	 2050	 7.000
137.191	 +0.920	IC 1848          	02 51 12	+60 26 00	 2200	 6.700
138.026	 +1.500	Collinder 34     	02 59 23	+60 34 00	     	
138.029	 +1.502	SAI 24           	02 59 25	+60 33 58	 1000	 7.200
139.708	 -1.341	SAI 25           	03 00 27	+57 16 02	 2290	 9.150
139.434	 +0.218	Berkeley 66      	03 04 18	+58 46 00	 5000	 9.600
146.812	-12.163	NGC 1193         	03 05 56	+44 23 00	 4571	 9.700
274.084	-50.831	NGC 1252         	03 10 49	-57 46 00	  790	 9.450
143.036	 -3.963	NGC 1220         	03 11 40	+53 20 42	 1800	 7.778
137.976	 +4.555	Trumpler 3       	03 11 48	+63 15 00	  460	 8.300
146.647	 -8.931	NGC 1245         	03 14 42	+47 14 12	 2818	 9.030
143.776	 -4.287	King 5           	03 14 45	+52 41 12	 1740	 9.100
140.052	 +2.146	Stock 23         	03 16 11	+60 06 56	  380	 7.510
140.929	 +0.906	Czernik 14       	03 16 54	+58 36 00	 2175	 8.400
238.549	-56.981	Alessi 13        	03 21 42	-36 18 00	  100	
145.100	 -3.966	Czernik 15       	03 23 12	+52 15 00	 1155	 7.300
140.545	 +2.990	FSR 0628         	03 23 12	+60 33 46	 5001	 9.250
146.568	 -5.863	Melotte 20       	03 24 19	+49 51 42	  185	 7.854
155.735	-17.796	Alessi Teutsch 9 	03 27 27	+34 57 12	  700	 8.650
143.358	 -0.139	King 6           	03 27 50	+56 23 59	  871	 8.400
145.837	 -2.987	Czernik 16       	03 30 48	+52 39 00	 2580	 8.300
154.952	-15.342	NGC 1342         	03 31 38	+37 22 36	  665	 8.655
150.564	 -9.230	ASCC 11          	03 32 17	+44 50 24	  650	 8.610
146.065	 -2.822	Berkeley 9       	03 32 39	+52 39 14	 1480	 9.300
146.969	 -3.709	NGC 1348         	03 34 06	+51 24 30	 1820	 8.110
138.616	 +8.879	Berkeley 10      	03 39 32	+66 29 09	 1700	 9.060
128.525	+21.269	SAI 30           	03 40 22	+82 14 00	 3100	 8.000
142.965	 +3.288	FSR 0634         	03 40 24	+59 25 10	 2301	 8.952
162.166	-19.730	Alessi Teutsch 10	03 44 26	+29 40 00	     	
160.490	-17.802	IC 348           	03 44 34	+32 09 48	  385	 7.641
166.571	-23.521	Melotte 22       	03 47 00	+24 07 00	  133	 8.131
147.071	 -0.508	Juchert 11       	03 47 18	+53 54 35	 3000	 8.900
143.942	 +3.573	Tombaugh 5       	03 47 48	+59 03 00	 1750	 8.300
148.096	 -1.292	NGC 1444         	03 49 25	+52 39 30	 1199	 7.964
149.076	 -1.970	Majaess 36       	03 51 37	+51 31 00	     	
142.557	 +6.185	Czernik 17       	03 52 24	+61 57 00	 7000	 8.050
145.120	 +3.680	Juchert 9        	03 55 21	+58 23 30	 4400	 7.600
147.948	 +0.345	FSR 0654         	03 55 35	+54 01 14	 4000	 8.508
148.121	 +0.287	FSR 0655         	03 56 14	+53 51 54	 1742	 8.720
291.137	-35.705	NGC 1520         	03 57 51	-76 47 42	  775	 9.300
148.571	 +0.362	FSR 0656         	03 58 53	+53 37 54	 1400	 8.895
149.774	 -1.019	King 7           	03 59 00	+51 48 00	 2200	 8.820
146.265	 +3.121	FSR 0647         	03 59 11	+57 13 37	     	
146.270	 +3.139	Alicante 1       	03 59 18	+57 14 14	 3981	 6.600
203.622	-43.330	NGC 1498         	04 00 18	-12 00 54	 1020	 9.200
149.740	 -0.197	Juchert 19       	04 02 20	+52 26 39	 1340	 9.300
150.112	 -0.552	FSR 0660         	04 02 38	+51 55 56	 5126	 9.220
150.609	 -0.957	Majaess 41       	04 03 19	+51 17 58	     	
150.853	 -1.118	Majaess 42       	04 03 48	+51 01 05	     	
149.847	 +0.187	NGC 1496         	04 04 32	+52 39 42	 1230	 8.800
150.681	 -0.596	FSR 0665         	04 05 12	+51 31 20	     	
167.489	-17.983	Dolidze 14       	04 06 43	+27 32 34	 1670	 9.100
151.142	 -0.653	FSR 0667         	04 07 09	+51 10 18	 1818	 8.080
143.672	 +7.658	NGC 1502         	04 07 50	+62 19 54	 1000	 7.000
152.590	 -1.574	NGC 1513         	04 09 57	+49 30 54	 1320	 8.110
154.494	 -3.422	Juchert 20       	04 10 47	+46 52 01	 2420	 8.550
153.409	 -1.877	FSR 0674         	04 12 21	+48 44 07	 3400	 8.560
283.773	-38.261	NGC 1557         	04 13 11	-70 28 18	 1055	 9.480
152.057	 +0.258	NGC 1528         	04 15 23	+51 12 54	 1090	 8.600
159.306	 -6.866	SAI 36           	04 16 50	+41 04 00	 3000	 9.100
151.269	 +1.782	Waterloo 1       	04 18 36	+52 51 30	 4400	 8.600
147.484	 +5.701	IC 361           	04 19 00	+58 18 00	 1070	 7.718
151.176	 +2.124	Mayer 2          	04 19 45	+53 10 00	 1589	 7.400
157.081	 -3.642	Berkeley 11      	04 20 36	+44 55 00	 2200	 8.041
153.359	 +0.184	NGC 1545         	04 20 57	+50 15 12	  711	 8.448
162.895	 -9.180	NGC 1548         	04 21 20	+36 55 00	 2501	 9.020
152.406	 +1.482	FSR 0671         	04 22 30	+51 50 40	 3501	 7.900
168.648	-13.720	FSR 0756         	04 24 13	+29 42 14	 1800	 8.480
150.391	 +3.888	FSR 0662         	04 24 30	+54 58 01	     	
156.888	 -2.158	FSR 0686         	04 25 51	+46 05 53	 1638	 8.610
180.064	-22.343	Melotte 25       	04 26 54	+15 52 00	   45	 8.896
168.287	-12.287	Czernik 18       	04 28 00	+30 56 00	 1052	 9.000
159.303	 -3.039	NGC 1582         	04 31 39	+43 44 36	 1100	 8.470
158.574	 -1.579	NGC 1605         	04 34 53	+45 16 12	 2559	 7.610
277.203	-38.318	NGC 1641         	04 35 32	-65 45 00	  985	 9.520
154.878	 +2.503	Berkeley 67      	04 38 06	+50 45 00	 2450	 9.000
156.933	 +0.967	FSR 0687         	04 39 29	+48 11 40	     	
155.357	 +2.608	NGC 1624         	04 40 36	+50 27 42	 6000	 6.600
139.345	+16.148	Platais 3        	04 41 37	+71 14 12	  200	 8.700
162.023	 -2.746	FSR 0714         	04 42 46	+41 55 19	 1819	 9.060
162.294	 -2.598	FSR 0719         	04 44 19	+41 48 51	 3500	 8.945
162.125	 -2.408	Berkeley 68      	04 44 30	+42 04 00	 1678	 8.391
161.670	 -1.991	Berkeley 12      	04 44 36	+42 41 00	 3162	 9.600
162.600	 -2.705	FSR 0723         	04 44 57	+41 30 45	 3103	 8.965
163.944	 -3.809	FSR 0733         	04 45 08	+39 46 32	 1500	 9.060
162.309	 -2.333	Majaess 50       	04 45 27	+41 58 33	     	
180.337	-16.772	NGC 1647         	04 45 55	+19 06 54	  540	 8.158
152.292	 +6.329	Alessi 2         	04 46 02	+55 12 24	  501	 8.500
162.267	 -2.138	FSR 0717         	04 46 06	+42 08 03	 1700	 9.050
162.436	 -2.221	FSR 0721         	04 46 21	+41 57 07	 3662	 8.800
160.336	 -0.396	Ruprecht 148     	04 46 30	+44 44 00	 3028	 7.724
187.695	-21.114	NGC 1662         	04 48 27	+10 56 12	  437	 8.625
185.845	-19.735	NGC 1663         	04 48 58	+13 08 54	  700	 9.300
163.034	 -1.856	ASCC 12          	04 49 55	+41 43 48	  500	 8.420
226.162	-37.144	ESO 485 20       	04 50 04	-25 57 24	     	
161.677	 -0.446	NGC 1664         	04 51 06	+43 40 30	 1199	 8.465
160.130	 +0.963	FSR 0702         	04 51 40	+45 45 53	 2501	 8.900
164.179	 -1.833	FSR 0735         	04 53 53	+40 51 42	 2500	 8.700
167.583	 -4.117	Teutsch 5        	04 55 43	+36 46 55	 2325	 9.350
155.085	 +5.924	Berkeley 13      	04 55 52	+52 48 00	 2470	 9.000
159.356	 +2.578	FSR 0699         	04 56 07	+47 23 04	     	
174.099	 -8.832	Czernik 19       	04 57 09	+28 46 47	 2500	 7.400
163.007	 +0.145	Skiff J0458+43.0 	04 58 14	+43 00 48	 2125	 8.950
159.143	 +3.277	FSR 0696         	04 58 35	+47 59 09	     	
280.014	-35.247	NGC 1785         	04 58 35	-68 50 40	 3080	 8.700
167.085	 -2.764	FSR 0744         	04 59 30	+38 00 42	 1250	 8.850
162.873	 +0.707	Berkeley 14      	05 00 12	+43 28 00	 5500	 9.200
169.041	 -3.864	FSR 0759         	05 01 10	+35 47 41	 3801	 9.200
162.530	 +1.344	FSR 0722         	05 01 49	+44 07 42	 2501	 8.800
162.266	 +1.609	Berkeley 15      	05 02 05	+44 30 00	 1202	 9.400
168.384	 -3.086	FSR 0753         	05 02 14	+36 47 24	 3001	 8.300
163.867	 +0.490	FSR 0732         	05 02 36	+42 32 55	 2800	 9.500
164.060	 +0.519	FSR 0734         	05 03 22	+42 24 49	 1193	 8.350
155.764	 +6.851	NGC 1708         	05 03 27	+52 50 00	  630	 8.755
179.075	-10.645	NGC 1746         	05 03 50	+23 46 12	  800	 8.645
179.178	-10.696	NGC 1750         	05 03 55	+23 39 30	  630	 8.300
179.154	-10.490	NGC 1758         	05 04 35	+23 47 54	  760	 8.600
166.986	 -1.003	Bica 6           	05 06 20	+39 09 50	 1600	 9.000
170.460	 -3.554	Dolidze 15       	05 06 35	+34 51 24	     	
167.670	 -1.335	SAI 41           	05 07 05	+38 25 05	 5200	 9.300
173.771	 -5.843	Skiff J0507+30.8 	05 07 14	+30 50 34	 8701	 9.100
180.790	-10.859	Platais 4        	05 07 22	+22 16 42	  276	 8.000
168.903	 -2.015	NGC 1778         	05 08 04	+37 01 24	 1469	 8.155
158.609	 +5.686	SAI 43           	05 08 17	+49 52 08	 3840	 8.950
167.298	 -0.745	King 17          	05 08 22	+39 04 08	 4710	 8.400
167.685	 -0.632	Teutsch 132      	05 10 01	+38 49 31	 5370	 6.700
179.664	 -9.261	NGC 1802         	05 10 14	+24 06 30	 2100	 9.150
157.033	 +7.358	NGC 1790         	05 11 02	+52 07 06	     	
162.259	 +3.619	FSR 0716         	05 11 10	+45 42 46	 4500	 8.805
160.703	 +4.850	NGC 1798         	05 11 39	+47 41 30	 3470	 9.250
186.156	-13.096	NGC 1817         	05 12 15	+16 41 24	 1972	 8.612
138.373	+19.610	Collinder 464    	05 12 39	+73 58 29	     	
163.401	 +3.260	ASCC 13          	05 13 19	+44 34 48	  800	 7.710
173.215	 -3.468	Dolidze 16       	05 14 44	+32 41 19	  868	 7.600
250.870	-35.258	ESO 252 14       	05 16 00	-45 14 12	 2180	 8.655
173.072	 -2.485	Melotte 31       	05 18 10	+33 22 25	     	
279.040	-33.607	NGC 1901         	05 18 11	-68 27 00	  460	 8.780
169.645	 +0.033	Kronberger 18    	05 18 36	+37 37 30	 3250	 8.000
170.675	 -0.442	SAI 46           	05 19 37	+36 30 32	 4290	 9.450
168.405	 +1.259	NGC 1857         	05 20 06	+39 20 36	 2490	 8.500
228.580	-30.681	ESO 486 54       	05 20 11	-26 02 54	 2856	 8.650
171.837	 -1.029	ASCC 14          	05 20 31	+35 13 12	 1100	 8.610
168.286	 +1.444	Czernik 20       	05 20 32	+39 32 50	 3370	 7.173
175.646	 -3.648	Berkeley 17      	05 20 36	+30 36 00	 2700	10.000
163.632	 +5.017	Berkeley 18      	05 22 12	+45 24 00	 5800	 9.630
170.985	 +0.077	ASCC 15          	05 22 37	+36 33 00	 1400	 8.600
173.585	 -1.680	NGC 1893         	05 22 44	+33 24 42	 3500	 6.180
167.277	 +2.684	Collinder 62     	05 22 53	+41 04 51	 1472	 8.905
173.578	 -1.520	Dolidze 18       	05 23 21	+33 30 29	     	
195.104	-15.317	Dolidze 19       	05 23 42	+08 11 00	 1710	 8.590
192.240	-13.560	Dol Dzim 2       	05 23 54	+11 28 00	 1220	 8.900
166.370	 +3.546	SAI 47           	05 23 58	+42 18 52	 3860	 8.500
176.901	 -3.588	Berkeley 19      	05 24 06	+29 36 00	 7870	 9.400
173.694	 -1.363	SAI 48           	05 24 17	+33 30 02	 1800	 9.350
